ts, sip, dip, sport, dport, proto, dura, orig_pks, reply_pks, orig_bytes, reply_bytes, orig_min_pkt_size, orig_max_pkt_size, reply_min_pkt_size, reply_max_pkt_size, orig_min_interval, orig_max_interval, reply_min_interval, reply_max_interval, orig_min_ttl, orig_max_ttl, reply_min_ttl, reply_max_ttl, urg, ack, psh, rst, syn, fin, is_new, state, prev_state
9927377, 192.168.10.25, 104.16.26.92, 25324,47873, 6,6, 21,17,2024,17720, 40,957,40,1500, 1,20,1,19, 64,64,57,57, 0,37,16,0,2,2, 1,6,4
9927377, 192.168.10.25, 89.186.73.156, 24557,47873, 6,6, 12,6,1420,708, 40,617,52,265, 1,1712,1,1721, 64,64,50,50, 0,15,8,2,2,2, 1,6,5
9927377, 192.168.10.17, 72.21.91.29, 46775,20480, 6,6, 17,15,1331,1584, 52,491,52,848, 2,2860,2,2854, 64,64,54,54, 0,31,2,0,2,2, 1,6,4
9927377, 192.168.10.8, 172.217.9.238, 62672,47873, 6,6, 21,17,1922,5560, 40,355,40,1470, 1,7394,7,7387, 128,128,52,52, 0,37,21,0,2,2, 1,6,4
9927377, 192.168.10.25, 209.205.216.242, 58601,47873, 6,6, 13,6,1636,1440, 52,521,52,1113, 1,1,2,2, 64,64,48,48, 0,18,8,0,2,2, 1,6,4
9927377, 192.168.10.12, 23.50.75.27, 20156,20480, 6,6, 17,14,1326,736, 52,486,52,60, 4,4345,20,4318, 64,64,56,56, 0,30,1,0,2,2, 1,6,4
9927377, 192.168.10.12, 196.11.125.149, 46245,47873, 6,6, 53,54,5854,61507, 52,820,52,1449, 1,899,1,1083, 64,64,49,49, 0,106,15,0,2,2, 1,6,4
9927377, 192.168.10.25, 216.58.219.228, 18152,47873, 6,6, 11,6,1788,799, 52,1017,52,393, 1,24,4,27, 64,64,53,53, 0,16,7,0,2,2, 1,6,4
9927377, 192.168.10.17, 172.217.12.194, 61106,47873, 6,6, 21,19,2199,5659, 52,763,52,1470, 1,2266,1,2214, 64,64,52,52, 0,39,7,0,2,2, 1,6,4
9927377, 192.168.10.17, 34.205.22.5, 36316,47873, 6,6, 18,13,1795,1521, 52,589,52,666, 1,1342,2,1337, 64,64,237,237, 0,30,7,0,2,2, 1,6,4
9927377, 192.168.10.8, 193.70.47.154, 22482,47873, 6,6, 9,8,726,4102, 40,237,40,1500, 3,109,5,120, 128,128,50,50, 0,16,6,1,2,2, 1,6,5
9927377, 192.168.10.51, 162.213.33.44, 50591,47873, 6,6, 11,11,1431,4530, 52,319,52,1500, 1,3,1,4, 64,64,49,49, 0,21,8,0,2,2, 1,6,4
9927377, 192.168.10.8, 68.67.180.12, 56785,47873, 6,6, 13,15,3324,9121, 40,1500,40,1500, 8,963,1,963, 128,128,52,52, 0,27,7,0,2,2, 1,6,4
9927377, 192.168.10.5, 172.217.9.237, 57595,47873, 6,6, 23,18,2268,5675, 40,625,40,1470, 1,9440,4,9438, 128,128,52,52, 0,40,22,0,2,2, 1,6,4
9927377, 192.168.10.8, 137.116.165.219, 26066,47873, 6,6, 3,0,152,0, 48,52,0,0, 19,20,0,0, 128,128,0,0, 0,0,0,0,3,0, 1,6,1
9927377, 192.168.10.25, 169.45.253.37, 56810,47873, 6,6, 25,7,2515,808, 40,585,52,313, 1,17175,1,217, 64,64,48,48, 0,31,20,1,2,14, 1,6,5
9927377, 192.168.10.51, 104.88.12.52, 7611,47873, 6,6, 8,8,1400,2939, 52,685,52,1500, 2,41,1,33, 64,64,55,55, 0,15,6,0,2,2, 1,6,4
9927377, 192.168.10.14, 38.69.238.10, 45271,47873, 6,6, 7,8,643,4262, 40,234,40,1500, 1,35,2,52, 128,128,55,55, 0,14,6,1,2,1, 1,6,4
9927377, 192.168.10.17, 50.116.194.23, 10152,47873, 6,6, 12,11,2773,5745, 52,719,52,1500, 5,1644,6,1653, 64,64,50,51, 0,22,11,0,2,2, 1,6,4
