ts, sip, dip, sport, dport, proto, dura, orig_pks, reply_pks, orig_bytes, reply_bytes, orig_min_pkt_size, orig_max_pkt_size, reply_min_pkt_size, reply_max_pkt_size, orig_min_interval, orig_max_interval, reply_min_interval, reply_max_interval, orig_min_ttl, orig_max_ttl, reply_min_ttl, reply_max_ttl, urg, ack, psh, rst, syn, fin, is_new, state, prev_state
624154, 1.1.1.92, 1.1.129.33, 47031,57626, 6,11, 354,186,21972,180564, 52,329,52,1065, 1,554,1,584, 32,32,32,32, 0,538,348,0,4,4, 1,6,4
624154, 1.1.2.226, 1.1.130.166, 59911,57626, 6,2, 354,186,21972,180564, 52,329,52,1065, 1,4828,1,4839, 32,32,32,32, 0,538,348,0,4,4, 1,6,4
624154, 1.1.0.97, 1.1.130.99, 62521,20480, 6,7, 18,10,6898,3410, 52,1500,52,773, 1,16,2,36, 32,32,32,32, 0,26,8,0,4,4, 1,6,4
624154, 1.1.2.244, 1.1.129.144, 10738,57626, 6,6, 350,184,21730,178434, 52,329,52,1065, 1,368,1,393, 32,32,32,32, 0,532,344,0,4,4, 1,6,4
624154, 1.1.3.18, 1.1.131.72, 53781,57626, 6,9, 354,186,21972,180564, 52,329,52,1065, 1,583,1,617, 32,32,32,32, 0,538,348,0,4,4, 1,6,4
624154, 1.1.2.68, 1.1.128.16, 7925,13568, 17,13, 4,4,252,316, 61,65,77,81, 709,709,1,701, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
624154, 1.1.1.132, 1.1.130.80, 25974,20480, 6,10, 70,2056,10002,3025162, 52,1260,52,1500, 2,5632,1,5657, 32,32,32,32, 0,2124,1030,0,4,4, 1,6,4
624154, 1.1.0.255, 1.1.129.132, 6174,47873, 6,4, 38,718,3862,1039072, 52,557,52,1500, 1,1138,1,44, 32,32,32,32, 0,754,372,0,4,4, 1,6,4
624154, 1.1.0.156, 1.1.131.85, 42856,57626, 6,11, 350,184,21730,178434, 52,329,52,1065, 1,696,1,728, 32,32,32,32, 0,532,344,0,4,4, 1,6,4
624154, 1.1.1.78, 1.1.130.202, 19192,20480, 6,5, 24,76,5848,96504, 52,339,52,1500, 2,167,2,53, 32,32,32,32, 0,98,52,0,4,2, 1,6,4
624154, 1.1.1.92, 1.1.129.63, 11485,13568, 17,11, 2,2,130,162, 65,65,81,81, 1,1,1,1, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
624154, 1.1.2.98, 1.1.128.96, 3974,20480, 6,5, 10,10,1364,3524, 52,470,52,1500, 1,32,1,19, 32,32,32,32, 0,18,4,0,4,4, 1,6,4
624154, 1.1.3.18, 1.1.131.72, 13222,57626, 6,9, 350,184,21730,178434, 52,329,52,1065, 1,370,1,395, 32,32,32,32, 0,532,344,0,4,4, 1,6,4
624154, 1.1.2.98, 1.1.131.223, 10285,20480, 6,5, 14,36,1356,43058, 52,362,52,1500, 1,198,2,68, 32,32,32,32, 0,48,18,0,4,4, 1,6,4
624154, 1.1.2.94, 1.1.130.50, 14450,13568, 17,13, 6,6,394,490, 59,71,75,87, 409,1016,1,1014, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
624154, 1.1.3.45, 1.1.129.236, 19777,20480, 6,4, 70,2054,10002,3022162, 52,1260,52,1500, 1,5632,1,5657, 32,32,32,32, 0,2122,1030,0,4,4, 1,6,4
624154, 1.1.0.127, 1.1.128.152, 43730,20480, 6,11, 80,80,28430,52472, 52,1457,52,1457, 1,833,1,855, 32,32,32,32, 0,158,74,0,4,4, 1,6,4
624154, 1.1.1.42, 1.1.131.105, 65320,47873, 6,11, 38,718,3862,1039068, 52,557,52,1500, 1,1117,1,52, 32,32,32,32, 0,754,372,0,4,4, 1,6,4
624154, 1.1.0.104, 1.1.129.233, 63464,20480, 6,6, 540,738,748734,1053348, 52,1500,52,1500, 1,1117,1,1117, 32,32,32,32, 0,1276,620,0,4,4, 1,6,4
624154, 1.1.1.166, 1.1.130.56, 14466,57626, 6,7, 350,184,21730,178434, 52,329,52,1065, 1,549,3,592, 32,32,32,32, 0,532,344,0,4,4, 1,6,4
624154, 1.1.1.154, 1.1.131.28, 52229,57626, 6,9, 350,184,21730,178434, 52,329,52,1065, 1,341,1,355, 32,32,32,32, 0,532,344,0,4,4, 1,6,4
624154, 1.1.1.92, 1.1.129.33, 52393,57626, 6,11, 350,184,21730,178434, 52,329,52,1065, 1,332,1,364, 32,32,32,32, 0,532,344,0,4,4, 1,6,4
624154, 1.1.2.219, 1.1.128.132, 8474,57626, 6,7, 354,186,21972,180564, 52,329,52,1065, 1,572,1,605, 32,32,32,32, 0,538,348,0,4,4, 1,6,4
624154, 1.1.0.18, 1.1.129.151, 4614,20480, 6,2, 70,2056,10002,3025162, 52,1260,52,1500, 1,5635,1,5657, 32,32,32,32, 0,2124,1032,0,4,4, 1,6,4
624154, 1.1.0.120, 1.1.130.32, 23271,13568, 17,18, 4,4,252,316, 61,65,77,81, 1,710,1,697, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
624154, 1.1.0.118, 1.1.128.105, 33783,47873, 6,4, 38,718,3862,1039072, 52,557,52,1500, 1,1119,1,50, 32,32,32,32, 0,754,372,0,4,4, 1,6,4
624154, 1.1.1.246, 1.1.128.86, 63405,13568, 17,14, 6,6,394,490, 59,71,75,87, 1,1012,1,1012, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
624154, 1.1.2.0, 1.1.131.241, 45060,13568, 17,17, 10,10,600,760, 60,60,76,76, 3,24818,1,24822, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
624154, 1.1.2.195, 1.1.131.27, 52796,47873, 6,11, 28,18,10198,1188, 52,1500,52,103, 1,14,1,33, 32,32,32,32, 0,44,30,0,4,4, 1,6,4
624154, 1.1.3.217, 1.1.128.142, 14383,13568, 17,15, 6,6,394,490, 59,71,75,87, 409,1155,4,1120, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
624154, 1.1.1.61, 1.1.131.12, 43263,13568, 17,15, 4,4,252,316, 61,65,77,81, 691,691,1,685, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
624154, 1.1.2.203, 1.1.131.66, 20306,20480, 6,3, 32,52,11950,61256, 52,1500,52,1500, 1,195,1,142, 32,32,32,32, 0,82,36,0,4,4, 1,6,4
624154, 1.1.1.210, 1.1.129.204, 36434,57626, 6,3, 350,184,21730,178434, 52,329,52,1065, 1,347,1,381, 32,32,32,32, 0,532,344,0,4,4, 1,6,4
624154, 1.1.2.197, 1.1.128.208, 27258,13568, 17,11, 2,2,132,164, 66,66,82,82, 0,0,1,1, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
624154, 1.1.1.8, 1.1.131.45, 61402,57626, 6,4, 354,186,21972,180564, 52,329,52,1065, 1,515,1,549, 32,32,32,32, 0,538,348,0,4,4, 1,6,4
624154, 1.1.2.141, 1.1.130.148, 31119,57626, 6,8, 354,186,21972,180564, 52,329,52,1065, 1,594,1,627, 32,32,32,32, 0,538,348,0,4,4, 1,6,4
624154, 1.1.2.129, 1.1.130.68, 708,5376, 6,8, 32,32,1848,2348, 52,74,52,106, 1,4314,1,4322, 32,32,32,32, 0,62,38,0,4,4, 1,6,4
624154, 1.1.0.156, 1.1.129.186, 61617,20480, 6,6, 10,10,1364,3524, 52,470,52,1500, 3,47,1,25, 32,32,32,32, 0,18,4,0,4,4, 1,6,4
624154, 1.1.1.119, 1.1.131.120, 56988,13568, 17,15, 2,2,130,162, 65,65,81,81, 0,0,0,0, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
624154, 1.1.2.195, 1.1.130.207, 62259,20480, 6,11, 18,10,6898,3410, 52,1500,52,773, 1,13,3,36, 32,32,32,32, 0,26,8,0,4,4, 1,6,4
624154, 1.1.0.156, 1.1.128.34, 5145,20480, 6,6, 70,1990,10002,2928324, 52,1260,52,1500, 2,6016,1,6040, 32,32,32,32, 0,2058,998,0,4,4, 1,6,4
624154, 1.1.1.130, 1.1.131.19, 3814,20480, 6,8, 80,80,27976,52006, 52,1457,52,1457, 1,836,1,857, 32,32,32,32, 0,158,74,0,4,4, 1,6,4
624154, 1.1.3.165, 1.1.128.14, 57727,20480, 6,10, 42,532,6242,773142, 52,385,52,1500, 1,22270,1,22287, 32,32,32,32, 0,572,280,0,4,4, 1,6,4
624154, 1.1.3.122, 1.1.131.108, 1685,20480, 6,11, 80,80,27976,52006, 52,1457,52,1457, 1,860,1,883, 32,32,32,32, 0,158,74,0,4,4, 1,6,4
624154, 1.1.2.137, 1.1.129.192, 46953,20480, 6,6, 32,52,11950,61256, 52,1500,52,1500, 2,198,1,139, 32,32,32,32, 0,82,36,0,4,4, 1,6,4
624154, 1.1.2.108, 1.1.130.246, 42305,57626, 6,8, 350,184,21730,178434, 52,329,52,1065, 1,370,1,393, 32,32,32,32, 0,532,344,0,4,4, 1,6,4
624154, 1.1.1.41, 1.1.129.1, 34311,57626, 6,7, 350,184,21730,178434, 52,329,52,1065, 1,479,1,512, 32,32,32,32, 0,532,344,0,4,4, 1,6,4
624154, 1.1.1.92, 1.1.129.33, 52496,57626, 6,11, 350,184,21730,178434, 52,329,52,1065, 1,361,1,398, 32,32,32,32, 0,532,344,0,4,4, 1,6,4
624154, 1.1.3.46, 1.1.128.72, 58253,20480, 6,3, 80,80,27976,52006, 52,1457,52,1457, 1,847,1,874, 32,32,32,32, 0,158,74,0,4,4, 1,6,4
624154, 1.1.2.147, 1.1.131.107, 49517,20480, 6,5, 24,74,5848,93536, 52,339,52,1500, 2,136,1,56, 32,32,32,32, 0,96,50,0,4,4, 1,6,4
