ts, sip, dip, sport, dport, proto, dura, orig_pks, reply_pks, orig_bytes, reply_bytes, orig_min_pkt_size, orig_max_pkt_size, reply_min_pkt_size, reply_max_pkt_size, orig_min_interval, orig_max_interval, reply_min_interval, reply_max_interval, orig_min_ttl, orig_max_ttl, reply_min_ttl, reply_max_ttl, urg, ack, psh, rst, syn, fin, is_new, state, prev_state
12266771, 172.16.0.1, 192.168.10.50, 14505,20480, 6,3, 22,12,2113,4992, 40,389,52,1500, 4,37971,1,41964, 62,62,64,64, 0,27,3,5,7,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 42122,20480, 6,3, 31,12,2994,5000, 40,408,52,1500, 1,33455,56,33525, 62,62,64,64, 0,34,4,7,9,1, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 7329,20480, 6,3, 26,12,3543,6440, 40,432,52,1500, 5,39514,67,39581, 62,62,64,64, 0,30,6,6,6,2, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 14472,20480, 6,3, 30,15,2938,3730, 40,457,52,1500, 1,38490,55,38539, 62,62,64,64, 0,34,6,8,8,5, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 49297,20480, 6,3, 29,17,3712,11074, 40,449,52,1500, 1,33652,3,39606, 62,62,64,64, 0,39,8,6,9,2, 1,6,5
12266771, 192.168.10.50, 172.16.0.1, 20480,51354, 6,3, 13,24,6503,2224, 52,1500,40,444, 2,49811,2,49734, 64,64,62,62, 0,30,4,5,7,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 6829,20480, 6,3, 23,11,2228,3514, 40,434,52,1500, 1,43177,62,43242, 62,62,64,64, 0,27,5,6,6,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 31421,20480, 6,3, 23,12,2176,6440, 40,406,52,1500, 1,34272,3,34299, 62,62,64,64, 0,27,3,6,6,2, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 37553,20480, 6,3, 22,14,2129,5107, 40,401,52,1500, 1,36338,1,36410, 62,62,64,64, 0,29,4,5,7,5, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 1765,20480, 6,3, 23,14,2541,8003, 40,413,52,1500, 56,27880,1,27961, 62,62,64,64, 0,30,5,5,6,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 35969,20480, 6,3, 21,13,2113,6514, 40,447,52,1500, 2,29764,60,29829, 62,62,64,64, 0,28,5,5,6,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 17576,20480, 6,3, 24,11,2687,6399, 52,423,52,1500, 1,38048,2,38116, 62,62,64,64, 0,32,5,3,6,1, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 11974,20480, 6,3, 23,13,2621,6492, 40,432,52,1500, 1,29009,1,29074, 62,62,64,64, 0,27,4,6,7,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 26778,20480, 6,3, 24,13,2212,6514, 40,404,52,1500, 1,48361,4,48398, 62,62,64,64, 0,31,5,5,6,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 44778,20480, 6,3, 22,16,2124,8096, 40,408,52,1500, 6,28085,1,28151, 62,62,64,64, 0,28,3,7,6,5, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 46244,20480, 6,3, 22,15,2200,8055, 40,469,52,1500, 1,29080,3,29152, 62,62,64,64, 0,30,4,5,6,4, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 6340,20480, 6,3, 21,13,2134,5077, 40,465,52,1500, 7,33418,58,33463, 62,62,64,64, 0,27,6,6,6,4, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 60074,20480, 6,3, 25,14,2343,8014, 40,463,52,1500, 1,37851,3,37928, 62,62,64,64, 0,33,5,5,6,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 6798,20480, 6,3, 39,16,4996,8137, 40,467,52,1500, 1,38487,1,38566, 62,62,64,64, 0,50,11,5,8,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 28304,20480, 6,3, 30,14,3044,8011, 52,425,52,1500, 1,36746,2,36794, 62,62,64,64, 0,40,5,4,8,1, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 43723,20480, 6,3, 19,9,2061,3388, 40,418,52,1500, 8,29830,16,29896, 62,62,64,64, 0,23,3,4,6,1, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 31391,20480, 6,3, 21,12,2149,6462, 40,424,52,1500, 1,37836,66,37924, 62,62,64,64, 0,29,5,4,6,2, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 54489,20480, 6,3, 24,13,2182,5066, 40,399,52,1500, 1,30433,11,30497, 62,62,64,64, 0,26,5,9,6,4, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 44739,20480, 6,3, 21,10,2114,3451, 52,420,52,1500, 3,33958,2,35464, 62,62,64,64, 0,27,4,3,7,2, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 3240,20480, 6,3, 23,11,2235,3514, 40,412,52,1500, 2,38078,6,38143, 62,62,64,64, 0,27,5,6,6,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 2255,20480, 6,3, 22,11,2171,4951, 40,417,52,1500, 1,29909,69,29986, 62,62,64,64, 0,27,4,5,6,2, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 29862,20480, 6,3, 23,10,2206,1992, 40,412,52,1500, 1,24740,5,30516, 62,62,64,64, 0,24,3,6,7,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 62617,20480, 6,3, 26,15,3286,8066, 40,402,52,1500, 3,46584,6,46648, 62,62,64,64, 0,31,8,8,6,4, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 11459,20480, 6,3, 25,12,2343,5014, 40,426,52,1500, 1,34017,1,34072, 62,62,64,64, 0,32,5,4,6,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 59018,20480, 6,3, 34,14,4162,8011, 40,426,52,1500, 1,37157,61,37219, 62,62,64,64, 0,43,8,5,8,1, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 48324,20480, 6,3, 20,14,2036,6566, 40,436,52,1500, 51,33153,56,33219, 62,62,64,64, 0,27,5,5,6,4, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 30358,20480, 6,3, 26,11,2333,7836, 52,395,52,1500, 1,38660,61,38728, 62,62,64,64, 0,34,3,3,6,0, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 40664,20480, 6,3, 32,12,2889,3574, 40,365,52,1500, 1,31176,5,31250, 62,62,64,64, 0,36,6,8,8,2, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 4792,20480, 6,3, 24,13,2234,5044, 40,426,52,1500, 1,24197,1,32187, 62,62,64,64, 0,28,3,6,8,4, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 45775,20480, 6,3, 23,13,2217,6514, 40,397,52,1500, 1,29974,1,30057, 62,62,64,64, 0,29,5,5,7,3, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 1763,20480, 6,3, 22,12,2113,7888, 40,406,52,1500, 5,29314,9,29396, 62,62,64,64, 0,27,3,6,6,1, 1,6,5
12266771, 192.168.10.14, 52.0.195.74, 55753,47873, 6,3, 6,6,244,319, 40,41,40,71, 5,15202,4,15262, 128,128,237,237, 0,12,1,0,0,2, 1,6,4
12266771, 172.16.0.1, 192.168.10.50, 12510,20480, 6,3, 22,8,2608,1899, 40,422,52,1500, 1,29958,57,30033, 62,62,64,64, 0,26,5,4,6,1, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 16074,20480, 6,3, 24,11,2681,7836, 52,427,52,1500, 3,42461,49,42524, 62,62,64,64, 0,32,4,3,6,0, 1,6,5
12266771, 172.16.0.1, 192.168.10.50, 51926,20480, 6,3, 24,14,2187,8014, 40,393,52,1500, 1,31254,5,31269, 62,62,64,64, 0,32,5,5,6,3, 1,6,5
